Date,Open,High,Low,Close,Volume,Adj Close
2012-01-30,5733.50,5901.100098,5651.600098,5901.100098,981165800,5901.100098
2012-01-23,5728.600098,5806.200195,5694.100098,5733.50,863525900,5733.50
2012-01-16,5636.600098,5749.799805,5609.899902,5728.600098,1083353700,5728.600098
2012-01-09,5649.700195,5711.899902,5583.50,5636.600098,1048954200,5636.600098
2012-01-02,5572.299805,5719.799805,5572.299805,5649.700195,594952900,5649.700195
2011-12-26,5512.700195,5588.399902,5491.00,5572.299805,192739900,5572.299805
2011-12-19,5387.299805,5516.600098,5328.700195,5512.700195,606287000,5512.700195
2011-12-12,5529.200195,5529.200195,5366.799805,5387.299805,899254100,5387.299805
2011-12-05,5552.299805,5631.899902,5440.899902,5529.200195,887799200,5529.200195
2011-11-28,5164.700195,5595.50,5164.700195,5552.299805,1052575300,5552.299805
2011-11-21,5362.899902,5362.899902,5075.200195,5164.700195,893389900,5164.700195
2011-11-14,5545.399902,5575.200195,5347.899902,5362.899902,871221600,5362.899902
2011-11-07,5527.200195,5616.00,5360.200195,5545.399902,841111700,5545.399902
2011-10-31,5702.200195,5702.200195,5338.399902,5527.200195,1172846700,5527.200195
2011-10-24,5488.700195,5747.299805,5465.50,5702.200195,922305000,5702.200195
2011-10-17,5466.399902,5543.700195,5348.600098,5488.700195,745046100,5488.700195
2011-10-10,5303.399902,5501.399902,5303.399902,5466.399902,730032600,5466.399902
2011-10-03,5128.50,5370.899902,4868.600098,5303.399902,977658000,5303.399902
2011-09-26,5066.799805,5314.299805,4974.00,5128.50,870634800,5128.50
2011-09-19,5368.399902,5377.399902,4928.100098,5066.799805,881251400,5066.799805
2011-09-12,5214.700195,5406.100098,5059.200195,5368.399902,1119971200,5368.399902
2011-09-05,5292.00,5369.799805,5086.799805,5214.700195,908817800,5214.700195
2011-08-29,5129.899902,5449.700195,5129.899902,5292.00,777543800,5292.00
2011-08-22,5040.799805,5254.200195,4993.299805,5129.899902,967353700,5129.899902
2011-08-15,5320.00,5377.200195,4929.600098,5040.799805,962687700,5040.799805
2011-08-08,5247.00,5320.00,4791.00,5320.00,1548970500,5320.00
2011-08-01,5815.200195,5913.50,5202.600098,5247.00,1285360500,5247.00
2011-07-25,5935.00,5951.299805,5772.399902,5815.200195,764509000,5815.200195
2011-07-18,5843.700195,5966.799805,5752.799805,5935.00,917334900,5935.00
2011-07-11,5990.600098,5998.600098,5793.00,5843.700195,835325700,5843.700195
2011-07-04,5989.799805,6084.100098,5973.799805,5990.600098,710692300,5990.600098
2011-06-27,5697.700195,5999.00,5679.600098,5989.799805,927093200,5989.799805
2011-06-20,5714.899902,5789.100098,5647.200195,5697.700195,833523600,5697.700195
2011-06-13,5765.799805,5822.600098,5644.399902,5714.899902,903330400,5714.899902
2011-06-06,5855.00,5890.600098,5758.299805,5765.799805,786536900,5765.799805
2011-05-30,5938.899902,6010.00,5802.700195,5855.00,723643000,5855.00
2011-05-23,5948.50,5951.399902,5810.50,5938.899902,883513000,5938.899902
2011-05-16,5925.899902,6017.600098,5860.700195,5948.50,778732800,5948.50
2011-05-09,5976.799805,6040.200195,5882.399902,5925.899902,807136100,5925.899902
2011-05-02,6069.899902,6103.700195,5871.600098,5976.799805,914154000,5976.799805
2011-04-25,6018.299805,6091.799805,6007.00,6069.899902,400348200,6069.899902
2011-04-18,5996.00,6049.399902,5858.299805,6018.299805,588337100,6018.299805
2011-04-11,6055.799805,6070.799805,5943.799805,5996.00,711884300,5996.00
2011-04-04,6009.899902,6066.399902,5987.700195,6055.799805,705054500,6055.799805
2011-03-28,5900.799805,6014.799805,5879.899902,6009.899902,804506600,6009.899902
2011-03-21,5718.100098,5918.700195,5718.100098,5900.799805,769789900,5900.799805
2011-03-14,5828.700195,5842.00,5591.600098,5718.100098,1107143800,5718.100098
2011-03-07,5990.399902,6043.100098,5796.399902,5828.700195,784559400,5828.700195
2011-02-28,6001.200195,6052.100098,5865.899902,5990.399902,856392900,5990.399902
2011-02-21,6083.00,6105.799805,5861.00,6001.200195,814163600,6001.200195
2011-02-14,6062.899902,6101.399902,6023.799805,6083.00,838226700,6083.00
2011-02-07,5997.399902,6091.299805,5973.399902,6062.899902,824253400,6062.899902
2011-01-31,5881.399902,6023.399902,5815.399902,5997.399902,914044100,5997.399902
2011-01-24,5896.299805,6003.299805,5877.899902,5881.399902,924081200,5881.399902
2011-01-17,6002.100098,6077.100098,5867.299805,5896.299805,902276800,5896.299805
2011-01-10,5984.299805,6055.50,5939.899902,6002.100098,863833800,6002.100098
2011-01-03,5899.899902,6090.50,5899.899902,5984.299805,691750000,5984.299805
2010-12-27,6008.899902,6021.50,5899.899902,5899.899902,155777100,5899.899902
2010-12-20,5871.799805,6008.899902,5865.50,6008.899902,397233400,6008.899902
2010-12-13,5813.00,5907.100098,5812.899902,5871.799805,815203900,5871.799805
2010-12-06,5745.299805,5850.399902,5728.50,5813.00,798777400,5813.00
2010-11-29,5668.700195,5784.299805,5519.200195,5745.299805,1059766700,5745.299805
2010-11-22,5732.799805,5783.100098,5573.299805,5668.700195,825700500,5668.700195
